ID,Address,Latitude,Longitude,Maximum,Ct
1,"PES University, Bangalore, Karnataka",12.93538,77.5358251,20,20
2,"Global Academy of Technology, Bangalore , Karnataka ",12.925777,77.526635,20,20
3,"Surana College, Bangalore, Karnataka",12.9364078,77.57823,20,20
4,"Reva University, Bangalore, Karnataka",13.1163393,77.6352927,20,20
5,"BMS College, Bangalore, Karnataka",12.9410122,77.5655258,20,20
6,"National College, Bangalore, Karnataka",12.9486571,77.5728889,20,20
7,"Pvp College, Bangalore, Karnataka",12.9649885,77.507645,20,20
8,"SJB College, Bangalore, Karnataka",12.8978294,77.4958983,20,20
9,"Bishop Cottons, Bangalore, Karnataka",12.9683325,77.5988167,20,20
10,"St. Josephs, Bangalore, Karnataka",12.9620652,77.5961399,20,20
11,"St. Mary's College, Bangalore, Karnataka",12.9716097,77.6363973,20,20
12,"New Horizon Public School, Bangalore, Karnataka",12.9675847,77.6419487,20,20
13,"ASC Degree College, Bangalore, Karnataka",12.9766462,77.5494513,20,20
14,"Ramaiah Institute of Technology, Bangalore, Karnataka",13.0305791,77.5648737,20,20
15,"AMC Engineering College, Bangalore, Karnataka",12.829115,77.5889579,20,20
16,"Garden City University, Bangalore, Karnataka",13.0251325,77.7070981,20,20
17,"CMR University, Bangalore, Karnataka",12.9674832,77.7139873,20,20
18,"RNS Institute of Technology, Bangalore, Karnataka",12.9021902,77.518582,20,20
19,"Bangalore University, Bangalore, Karnataka",12.9504048,77.5020617,20,20
20,"Dayanand Sagar, Bangalore, Karnataka",12.9091583,77.5665551,20,20
21,"Indian Institute of Science, Bangalore, Karnataka",13.0218597,77.5671423,20,20
22,"Delhi Public School, Bangalore, Karnataka",13.1185319,77.6414326,20,20
23,"Alpine Public School, Bangalore, Karnataka",12.893453,77.5631778,20,20
24,"Presidency College, Bangalore, Karnataka",13.0501929,77.597946,20,20
25,"Seshadripuram College, Bangalore, Karnataka",12.9890164,77.5763965,20,20
26,"Acharya Institute of Technology, Bangalore, Karnataka",13.0850221,77.484381,20,20
27,"National Hill View Public School, Bangalore, Karnataka",12.9285572,77.5291588,20,20
28,"Christ University, Bangalore, Karnataka",12.9344168,77.6060171,20,20
29,"Jain University, Bangalore, Karnataka",12.9181301,77.5919003,20,20
30,"Alliance University, Bangalore, Karnataka",12.9067979,77.6079921,20,20
31,"Visvesvaraya Institute of Technology, Bangalore, Karnataka",13.1510405,77.6100173,20,20
32,"Nitte Meenakshi Institute of Technology, Bangalore, Karnataka",13.1294627,77.5876588,20,20
33,"National Public School,Bangalore, Karnataka",12.9000459,77.5276156,20,20
34,"Dr. Ambedkar Institute of Technology, Bangalore, Karnataka",12.9636721,77.5060307,20,20
35,"Baldwins, Bangalore, Karnataka",12.9642365,77.6004913,20,20
36,"MVJ College of Engineering, Bangalore, Karnataka",12.9839572,77.7621739,20,20
37,"St. Claret College, Bangalore, Karnataka",13.0443628,77.5449276,20,20
38,"Carmel Public School, Bangalore, Karnataka",12.9115547,77.486207,20,20
39,"Jyothi Nivas, Bangalore, Karnataka",12.9857683,77.6742785,20,20
